MSFT,Microsoft Corporation,410.54,0.17
AAPL,Apple Inc.,182.74,-0.043
NVDA,NVIDIA Corporation,904.12,2.653
GOOG,Alphabet Inc.,171.16,0.154
GOOGL,Alphabet Inc.,169.38,0.154
AMZN,Amazon.com, Inc.,188.0,0.125
META,Meta Platforms, Inc.,472.6,0.273
BRK-B,Berkshire Hathaway Inc. New,406.37,0.052
LLY,Eli Lilly and Company,775.0,0.26
AVGO,Broadcom Inc.,1325.37,0.164
V,Visa Inc.,277.19,0.099
JPM,JP Morgan Chase & Co.,195.65,0.111
TSLA,Tesla, Inc.,174.72,-0.087
XOM,Exxon Mobil Corporation,116.15,-0.035
WMT,Walmart Inc.,60.3,0.057
UNH,UnitedHealth Group Incorporated,503.21,0.086
MA,Mastercard Incorporated,454.77,0.104
PG,Procter & Gamble Company (The),165.07,0.006
JNJ,Johnson & Johnson,148.95,0.023
COST,Costco Wholesale Corporation,763.41,0.057
HD,Home Depot, Inc. (The),338.83,-0.029
MRK,Merck & Company, Inc.,129.55,0.089
ORCL,Oracle Corporation,117.39,0.071
CVX,Chevron Corporation,162.54,-0.041
BAC,Bank of America Corporation,37.71,-0.033
ABBV,AbbVie Inc.,160.45,0.007
KO,Coca-Cola Company (The),62.85,0.029
CRM,Salesforce, Inc.,278.97,0.108
NFLX,Netflix, Inc.,609.47,0.148
AMD,Advanced Micro Devices, Inc.,153.62,0.022
PEP,Pepsico, Inc.,177.41,0.023
TMO,Thermo Fisher Scientific Inc,573.64,-0.034
ADBE,Adobe Inc.,488.1,0.113
WFC,Wells Fargo & Company,61.23,0.021
LIN,Linde plc,427.71,-0.011
QCOM,QUALCOMM Incorporated,180.55,0.012
ACN,Accenture plc,311.99,-0.001
CSCO,Cisco Systems, Inc.,48.0,-0.059
MCD,McDonald's Corporation,268.49,0.046
DIS,Walt Disney Company (The),105.44,0.012
TMUS,T-Mobile US, Inc.,162.83,-0.002
DHR,Danaher Corporation,249.55,-0.026
GE,GE Aerospace,168.86,0.108
ABT,Abbott Laboratories,104.94,0.022
INTU,Intuit Inc.,632.43,0.41
AMAT,Applied Materials, Inc.,207.36,-0.005
AXP,American Express Company,236.24,0.099
CAT,Caterpillar, Inc.,344.5,-0.004
TXN,Texas Instruments Incorporated,183.95,-0.164
VZ,Verizon Communications Inc.,39.48,0.002
AMGN,Amgen Inc.,307.31,0.22
PFE,Pfizer, Inc.,28.27,-0.186
IBM,International Business Machines,169.9,0.015
MS,Morgan Stanley,95.64,0.06
CMCSA,Comcast Corporation,39.05,0.012
PM,Philip Morris International Inc,98.25,0.097
UNP,Union Pacific Corporation,245.9,-0.004
NEE,NextEra Energy, Inc.,72.85,-0.147
NOW,ServiceNow, Inc.,721.03,0.242
BX,Blackstone Inc.,119.8,1.737
GS,Goldman Sachs Group, Inc. (The),446.95,0.121
COP,ConocoPhillips,123.06,-0.068
NKE,Nike, Inc.,93.59,0.003
SCHW,Charles Schwab Corporation (The,76.4,-0.074
UBER,Uber Technologies, Inc.,66.4,0.154
RTX,RTX Corporation,103.94,0.121
ISRG,Intuitive Surgical, Inc.,380.37,0.115
SPGI,S&P Global Inc.,429.21,0.105
LOW,Lowe's Companies, Inc.,232.07,-0.171
MU,Micron Technology, Inc.,119.32,0.577
ETN,Eaton Corporation, PLC,330.4,0.084
INTC,Intel Corporation,30.0,0.086
HON,Honeywell International Inc.,198.05,0.027
PGR,Progressive Corporation (The),215.9,0.206
UPS,United Parcel Service, Inc.,147.77,-0.053
SYK,Stryker Corporation,329.28,0.097
BKNG,Booking Holdings Inc. Common St,3660.0,0.169
ELV,Elevance Health, Inc.,533.35,0.01
T,AT&T Inc.,17.11,-0.004
C,Citigroup, Inc.,62.75,-0.053
LRCX,Lam Research Corporation,913.28,-0.02
BLK,BlackRock, Inc.,778.33,0.114
DE,Deere & Company,405.42,-0.037
LMT,Lockheed Martin Corporation,466.16,0.137
TJX,TJX Companies, Inc. (The),98.5,0.13
BA,Boeing Company (The),180.35,-0.075
MDT,Medtronic plc.,81.55,0.047
VRTX,Vertex Pharmaceuticals Incorpor,418.82,0.133
BSX,Boston Scientific Corporation,72.72,0.138
REGN,Regeneron Pharmaceuticals, Inc.,955.76,-0.005
CB,Chubb Limited,251.63,0.192
ADI,Analog Devices, Inc.,204.86,-0.227
ABNB,Airbnb, Inc.,157.9,0.166
MMC,Marsh & McLennan Companies, Inc,203.59,0.093
ADP,Automatic Data Processing, Inc.,242.94,0.066
CI,The Cigna Group,347.35,0.193
PLD,Prologis, Inc.,105.88,0.1
PANW,Palo Alto Networks, Inc.,303.01,0.193
KLAC,KLA Corporation,717.15,-0.03
MDLZ,Mondelez International, Inc.,70.43,0.014
ANET,Arista Networks, Inc.,291.67,0.163
FI,Fiserv, Inc.,153.29,0.074
BMY,Bristol-Myers Squibb Company,43.67,0.047
CMG,Chipotle Mexican Grill, Inc.,3183.25,0.141
SO,Southern Company (The),77.63,0.026
AMT,American Tower Corporation (REI,181.33,0.024
WM,Waste Management, Inc.,210.0,0.055
SNPS,Synopsys, Inc.,550.49,0.211
SBUX,Starbucks Corporation,73.5,-0.018
HCA,HCA Healthcare, Inc.,309.42,0.112
GILD,Gilead Sciences, Inc.,64.92,0.053
SHW,Sherwin-Williams Company (The),319.0,-0.014
GD,General Dynamics Corporation,292.74,0.086
DUK,Duke Energy Corporation (Holdin,102.38,-0.021
CDNS,Cadence Design Systems, Inc.,282.57,-0.012
CL,Colgate-Palmolive Company,93.47,0.062
ICE,Intercontinental Exchange Inc.,133.39,0.208
CME,CME Group Inc.,211.84,0.032
MO,Altria Group, Inc.,44.29,-0.01
APH,Amphenol Corporation,126.61,0.095
ZTS,Zoetis Inc.,164.92,0.095
EOG,EOG Resources, Inc.,129.83,0.047
TT,Trane Technologies plc,327.6,0.15
TGT,Target Corporation,159.59,0.017
ITW,Illinois Tool Works Inc.,247.4,-0.011
TDG,Transdigm Group Incorporated,1315.0,0.205
MCO,Moody's Corporation,395.94,0.215
FCX,Freeport-McMoRan, Inc.,49.96,0.173
MCK,McKesson Corporation,543.61,0.108
PH,Parker-Hannifin Corporation,554.91,0.003
CTAS,Cintas Corporation,690.54,0.099
NOC,Northrop Grumman Corporation,471.61,0.089
CVS,CVS Health Corporation,54.91,0.036
SLB,Schlumberger N.V.,47.86,0.126
BDX,Becton, Dickinson and Company,233.58,0.046
MAR,Marriott International,235.35,0.052
CSX,CSX Corporation,34.22,-0.007
PYPL,PayPal Holdings, Inc.,63.81,0.094
ECL,Ecolab Inc.,233.23,0.178
NXPI,NXP Semiconductors N.V.,260.21,0.002
EQIX,Equinix, Inc.,692.71,0.154
